case_id,state,district,land_type,acquisition_stage,case_age_days,days_in_stage,number_of_landowners,litigation_present,number_of_objections,compensation_delay_days,previous_stage_delay_days,historical_delay_rate,land_area_hectares,final_additional_delay_days
LA00049,Madhya Pradesh,Jabalpur,Agricultural,Notification,90,90,27,1,11,29,10,0.324,4.14,163
LA00050,Madhya Pradesh,Gwalior,Residential,Objection,424,22,15,0,8,10,61,0.236,38.03,121
LA00051,Madhya Pradesh,Bhopal,Industrial,Possession,79,42,48,0,4,2,39,0.344,9.41,199
LA00052,Gujarat,Surat,Residential,Notification,440,96,30,0,3,25,42,0.05,11.47,155
LA00053,Maharashtra,Nashik,Agricultural,Compensation,401,52,44,1,6,24,26,0.414,2.44,215
LA00054,Maharashtra,Aurangabad,Agricultural,Possession,101,101,24,0,4,28,45,0.212,15.49,161
LA00055,Maharashtra,Nagpur,Commercial,Objection,372,19,54,1,10,13,27,0.392,38.02,214
LA00056,Rajasthan,Jodhpur,Commercial,Compensation,85,49,44,1,5,118,3,0.481,17.64,300
LA00057,Uttar Pradesh,Kanpur,Agricultural,Possession,297,122,20,0,3,17,46,0.296,1.99,169
LA00058,Rajasthan,Kota,Industrial,Compensation,465,112,58,1,13,53,6,0.481,4.65,320
LA00059,Madhya Pradesh,Indore,Agricultural,Notification,127,127,52,0,5,15,55,0.229,8.24,235
LA00060,Madhya Pradesh,Indore,Commercial,Notification,111,111,36,1,4,7,74,0.219,4.15,222
LA00061,Punjab,Bathinda,Industrial,Possession,229,147,1,0,1,22,54,0.146,93.04,131
LA00062,Madhya Pradesh,Gwalior,Residential,Objection,203,5,36,1,11,16,46,0.437,4.56,200
LA00063,Maharashtra,Pune,Agricultural,Compensation,52,52,42,0,4,44,78,0.073,7.08,224
LA00064,Punjab,Patiala,Residential,Notification,244,45,22,0,5,12,17,0.254,4.05,122
LA00065,Maharashtra,Nagpur,Agricultural,Objection,152,51,9,0,3,12,62,0.097,9.32,95
LA00066,Gujarat,Vadodara,Commercial,Possession,88,41,34,0,4,27,16,0.062,29.44,183
LA00067,Punjab,Patiala,Agricultural,Compensation,160,85,49,0,11,31,0,0.311,8.29,213
LA00068,Maharashtra,Aurangabad,Residential,Possession,39,26,20,0,4,17,19,0.231,5.94,89
LA00069,Rajasthan,Jodhpur,Industrial,Objection,460,98,28,0,3,2,40,0.156,2.52,178
LA00070,Maharashtra,Nashik,Agricultural,Compensation,498,34,1,0,2,108,5,0.02,24.75,100
LA00071,Madhya Pradesh,Bhopal,Agricultural,Possession,203,93,43,0,6,8,22,0.379,6.4,200
LA00072,Gujarat,Vadodara,Residential,Objection,442,115,52,0,6,15,4,0.221,6.13,245
LA00073,Maharashtra,Nashik,Agricultural,Objection,247,36,47,0,9,27,19,0.355,0.71,171
LA00074,Rajasthan,Jodhpur,Agricultural,Possession,459,23,26,0,2,28,58,0.054,6.51,123
LA00075,Madhya Pradesh,Gwalior,Agricultural,Objection,111,111,3,0,0,8,12,0.124,4.95,123
LA00076,Maharashtra,Nashik,Agricultural,Compensation,164,134,30,0,7,106,21,0.23,1.19,242
LA00077,Gujarat,Surat,Residential,Possession,378,51,57,1,13,29,10,0.475,19.88,250
LA00078,Gujarat,Surat,Residential,Notification,133,133,6,0,1,7,31,0.222,4.33,157
LA00079,Uttar Pradesh,Agra,Agricultural,Objection,417,43,13,0,1,13,61,0.062,49.18,105
LA00080,Madhya Pradesh,Bhopal,Agricultural,Notification,230,168,51,0,11,15,43,0.322,30.4,248
LA00081,Punjab,Bathinda,Agricultural,Objection,220,24,35,0,1,0,16,0.095,3.6,153
LA00082,Maharashtra,Pune,Agricultural,Objection,243,121,11,0,0,14,25,0.02,29.06,132
LA00083,Rajasthan,Jodhpur,Residential,Compensation,405,8,2,0,0,107,54,0.041,36.99,145
LA00084,Madhya Pradesh,Gwalior,Agricultural,Notification,32,32,25,0,6,9,38,0.212,4.22,106
LA00085,Uttar Pradesh,Lucknow,Agricultural,Compensation,383,76,36,0,7,70,37,0.354,2.63,243
LA00086,Madhya Pradesh,Gwalior,Industrial,Objection,397,20,51,0,2,22,70,0.411,0.86,207
LA00087,Rajasthan,Kota,Agricultural,Objection,416,85,54,0,7,25,66,0.255,10.81,214
LA00088,Gujarat,Vadodara,Residential,Objection,499,45,28,0,5,8,19,0.212,2.79,148
LA00089,Madhya Pradesh,Indore,Agricultural,Compensation,398,22,26,0,5,4,57,0.256,11.14,159
LA00090,Madhya Pradesh,Bhopal,Agricultural,Compensation,279,174,56,0,7,35,64,0.351,4.19,320
LA00091,Maharashtra,Aurangabad,Agricultural,Objection,249,177,47,0,4,3,72,0.239,3.39,240
LA00092,Madhya Pradesh,Indore,Commercial,Possession,212,174,13,0,4,13,21,0.14,4.21,143
LA00093,Punjab,Bathinda,Commercial,Compensation,419,32,41,0,3,29,58,0.221,2.01,179
LA00094,Maharashtra,Pune,Agricultural,Objection,214,72,43,0,6,14,15,0.226,4.21,179
LA00095,Punjab,Ludhiana,Agricultural,Possession,299,62,15,0,5,16,36,0.115,3.54,94
LA00096,Gujarat,Rajkot,Agricultural,Objection,75,62,59,0,10,17,5,0.297,7.29,205
LA00097,Gujarat,Rajkot,Residential,Notification,179,78,18,0,4,5,48,0.119,8.2,117
LA00098,Madhya Pradesh,Jabalpur,Residential,Compensation,155,94,33,0,10,83,55,0.125,2.53,221
LA00099,Uttar Pradesh,Varanasi,Residential,Notification,234,90,30,0,6,20,36,0.266,22.22,177
LA00100,Rajasthan,Jaipur,Industrial,Objection,266,56,42,1,9,4,33,0.386,6.3,204
LA00101,Madhya Pradesh,Jabalpur,Agricultural,Compensation,367,177,55,0,8,85,19,0.439,33.2,254
LA00102,Gujarat,Vadodara,Residential,Notification,233,177,24,0,3,8,62,0.2,9.4,145
LA00103,Madhya Pradesh,Bhopal,Residential,Possession,100,63,24,0,3,12,73,0.137,7.92,146
LA00104,Rajasthan,Jaipur,Agricultural,Possession,286,43,46,0,6,23,10,0.203,4.52,160
LA00105,Madhya Pradesh,Jabalpur,Industrial,Compensation,55,55,58,1,7,113,22,0.401,13.67,269
LA00106,Madhya Pradesh,Indore,Agricultural,Compensation,429,69,55,1,8,40,48,0.433,7.64,306
LA00107,Madhya Pradesh,Jabalpur,Residential,Compensation,392,178,46,0,9,60,29,0.239,17.43,286
LA00108,Uttar Pradesh,Lucknow,Residential,Possession,136,80,43,0,10,1,1,0.133,36.77,177
LA00109,Maharashtra,Nashik,Industrial,Objection,153,12,47,1,12,22,1,0.309,3.57,214
LA00110,Madhya Pradesh,Indore,Agricultural,Notification,43,27,57,0,11,2,18,0.303,13.65,184
LA00111,Gujarat,Surat,Agricultural,Compensation,201,18,1,1,2,76,78,0.247,13.26,128
LA00112,Madhya Pradesh,Gwalior,Commercial,Compensation,48,48,36,0,6,17,49,0.099,11.68,205
LA00113,Uttar Pradesh,Varanasi,Commercial,Notification,471,60,3,0,4,30,20,0.12,4.79,109
LA00114,Maharashtra,Aurangabad,Agricultural,Compensation,93,93,35,0,5,51,4,0.23,4.89,160
LA00115,Uttar Pradesh,Kanpur,Commercial,Notification,340,161,24,0,7,30,61,0.142,4.12,192
LA00116,Uttar Pradesh,Lucknow,Agricultural,Possession,298,29,19,0,3,30,30,0.106,4.04,117
LA00117,Rajasthan,Udaipur,Residential,Objection,141,141,54,0,6,27,31,0.222,3.19,232
LA00118,Rajasthan,Kota,Industrial,Notification,410,107,43,0,8,25,45,0.258,6.66,242
LA00119,Gujarat,Vadodara,Agricultural,Notification,81,58,35,0,4,2,18,0.301,3.46,178
LA00120,Rajasthan,Kota,Agricultural,Objection,447,76,53,1,10,3,58,0.481,11.42,246
LA00121,Maharashtra,Aurangabad,Industrial,Objection,378,82,6,0,3,19,25,0.02,7.82,104
LA00122,Madhya Pradesh,Jabalpur,Commercial,Notification,329,35,39,1,14,3,57,0.33,8.75,202
LA00123,Uttar Pradesh,Kanpur,Industrial,Objection,444,157,10,0,1,7,41,0.02,5.62,126
LA00124,Maharashtra,Nagpur,Agricultural,Notification,219,7,14,0,4,30,12,0.146,7.92,68
LA00125,Punjab,Patiala,Industrial,Objection,162,17,12,0,4,28,50,0.178,5.77,128
LA00126,Uttar Pradesh,Agra,Agricultural,Objection,102,53,33,1,6,7,6,0.433,16.11,217
LA00127,Rajasthan,Jodhpur,Agricultural,Objection,465,30,38,0,3,16,57,0.076,4.75,180
LA00128,Madhya Pradesh,Gwalior,Agricultural,Objection,219,15,46,0,5,16,30,0.164,10.76,178
LA00129,Uttar Pradesh,Lucknow,Commercial,Notification,420,72,27,0,0,8,54,0.186,2.0,95
LA00130,Uttar Pradesh,Agra,Industrial,Notification,186,71,57,0,8,7,19,0.166,15.06,163
LA00131,Uttar Pradesh,Kanpur,Residential,Objection,479,27,23,0,5,13,32,0.184,4.22,152
LA00132,Uttar Pradesh,Varanasi,Residential,Compensation,439,147,10,0,3,45,24,0.171,2.97,198
LA00133,Rajasthan,Kota,Agricultural,Possession,175,160,3,0,2,24,20,0.02,2.37,125
LA00134,Uttar Pradesh,Agra,Agricultural,Possession,259,131,8,0,3,26,27,0.125,2.19,121
LA00135,Madhya Pradesh,Indore,Agricultural,Compensation,403,96,27,0,8,63,4,0.094,4.57,209
LA00136,Gujarat,Vadodara,Agricultural,Compensation,136,136,25,0,6,105,32,0.29,33.07,240
LA00137,Uttar Pradesh,Kanpur,Agricultural,Objection,41,41,52,0,9,19,9,0.297,3.88,218
LA00138,Rajasthan,Jaipur,Industrial,Compensation,166,80,8,0,1,2,42,0.059,0.81,89
LA00139,Maharashtra,Nagpur,Residential,Compensation,308,7,16,0,3,45,7,0.043,10.65,124
LA00140,Maharashtra,Nashik,Commercial,Possession,94,94,59,0,11,18,0,0.34,2.42,270
LA00141,Punjab,Patiala,Agricultural,Possession,187,21,2,0,1,22,35,0.198,16.69,87
LA00142,Gujarat,Rajkot,Agricultural,Objection,462,122,26,1,3,20,24,0.215,4.85,198
LA00143,Gujarat,Rajkot,Agricultural,Compensation,65,65,12,0,3,88,71,0.093,5.62,164
LA00144,Maharashtra,Nagpur,Agricultural,Possession,53,43,33,0,11,6,21,0.157,24.47,156
LA00145,Punjab,Amritsar,Agricultural,Objection,229,112,59,0,4,11,32,0.419,13.7,260
LA00146,Punjab,Amritsar,Agricultural,Possession,36,36,14,0,3,23,19,0.02,2.12,81
LA00147,Rajasthan,Jaipur,Agricultural,Notification,43,43,23,0,4,19,72,0.271,2.46,122
LA00148,Gujarat,Rajkot,Residential,Possession,116,98,27,0,6,19,63,0.156,1.24,163
LA00149,Madhya Pradesh,Jabalpur,Agricultural,Compensation,78,48,48,0,5,89,13,0.252,99.81,222
LA00150,Rajasthan,Udaipur,Agricultural,Notification,411,145,60,0,8,0,20,0.279,3.12,197
LA00151,Punjab,Amritsar,Agricultural,Compensation,87,74,6,0,4,4,15,0.128,23.8,127
LA00152,Gujarat,Surat,Agricultural,Notification,276,86,30,0,14,29,12,0.155,4.34,163
LA00153,Punjab,Bathinda,Agricultural,Compensation,362,148,46,0,13,104,19,0.352,2.51,300
LA00154,Gujarat,Vadodara,Agricultural,Compensation,324,45,1,1,2,81,68,0.275,7.55,122
LA00155,Maharashtra,Nagpur,Residential,Compensation,337,84,49,0,7,94,37,0.187,5.33,265
LA00156,Uttar Pradesh,Agra,Agricultural,Possession,198,179,15,1,7,7,31,0.3,16.48,214
LA00157,Rajasthan,Jodhpur,Industrial,Notification,448,75,32,0,4,16,15,0.171,16.68,153
LA00158,Uttar Pradesh,Kanpur,Agricultural,Objection,62,25,59,0,9,2,14,0.309,4.1,201
LA00159,Uttar Pradesh,Varanasi,Agricultural,Objection,80,55,39,0,4,8,44,0.347,1.75,192
LA00160,Madhya Pradesh,Indore,Agricultural,Notification,433,173,60,0,6,11,60,0.248,2.23,267
LA00161,Punjab,Bathinda,Agricultural,Objection,62,62,37,0,7,21,45,0.298,0.75,193
LA00162,Uttar Pradesh,Lucknow,Agricultural,Objection,120,120,13,0,2,9,53,0.166,5.62,149
LA00163,Maharashtra,Nashik,Industrial,Objection,111,49,42,0,6,14,21,0.223,7.3,208
LA00164,Maharashtra,Aurangabad,Agricultural,Objection,45,45,37,0,6,9,76,0.251,2.36,191
LA00165,Maharashtra,Aurangabad,Residential,Possession,85,74,19,0,2,4,66,0.17,2.09,121
LA00166,Madhya Pradesh,Jabalpur,Agricultural,Objection,299,144,5,0,0,24,71,0.02,7.27,151
LA00167,Gujarat,Surat,Agricultural,Possession,341,160,39,0,7,20,54,0.182,3.93,210
LA00168,Gujarat,Rajkot,Agricultural,Objection,69,41,35,0,8,20,56,0.135,5.97,169
LA00169,Maharashtra,Aurangabad,Agricultural,Objection,473,170,47,0,7,18,5,0.236,5.12,225
LA00170,Rajasthan,Udaipur,Agricultural,Compensation,75,75,8,0,2,30,13,0.22,9.48,145
LA00171,Rajasthan,Jaipur,Industrial,Objection,353,133,33,0,6,15,10,0.254,4.2,222
LA00172,Rajasthan,Kota,Residential,Objection,406,138,50,0,7,21,39,0.154,4.53,228
LA00173,Madhya Pradesh,Jabalpur,Industrial,Compensation,275,34,54,0,9,56,47,0.265,1.13,274
LA00174,Madhya Pradesh,Jabalpur,Agricultural,Notification,261,136,57,0,9,22,9,0.316,7.03,230
LA00175,Madhya Pradesh,Bhopal,Commercial,Objection,81,42,13,1,9,10,60,0.303,8.07,193
LA00176,Maharashtra,Aurangabad,Residential,Compensation,143,52,11,1,5,0,44,0.176,6.19,155
LA00177,Madhya Pradesh,Bhopal,Residential,Objection,430,25,35,0,5,11,48,0.114,49.99,145
LA00178,Rajasthan,Jodhpur,Industrial,Possession,194,36,28,0,6,30,74,0.185,8.7,197
LA00179,Punjab,Patiala,Residential,Objection,46,46,15,0,1,5,47,0.18,6.32,106
LA00180,Uttar Pradesh,Agra,Industrial,Possession,373,62,7,0,3,8,0,0.129,12.17,81
LA00181,Punjab,Patiala,Residential,Compensation,352,73,9,0,2,10,62,0.045,61.12,108
LA00182,Rajasthan,Jaipur,Agricultural,Possession,61,61,21,0,2,1,70,0.298,9.51,161
LA00183,Maharashtra,Nagpur,Residential,Possession,54,54,45,0,8,15,6,0.246,0.8,208
LA00184,Madhya Pradesh,Gwalior,Agricultural,Notification,84,84,4,1,6,0,43,0.221,11.38,127
LA00185,Maharashtra,Nagpur,Industrial,Compensation,53,53,7,0,4,10,38,0.06,3.07,102
LA00186,Maharashtra,Nashik,Commercial,Notification,320,152,16,1,4,9,12,0.333,1.08,171
LA00187,Rajasthan,Jodhpur,Agricultural,Possession,92,92,53,0,8,5,22,0.327,40.35,205
LA00188,Maharashtra,Nashik,Agricultural,Compensation,315,140,60,0,5,75,69,0.325,32.51,273
LA00189,Gujarat,Surat,Agricultural,Objection,112,112,27,0,3,10,31,0.088,2.99,143
LA00190,Gujarat,Vadodara,Agricultural,Possession,488,124,3,0,0,2,43,0.178,3.01,116
LA00191,Madhya Pradesh,Indore,Agricultural,Notification,371,11,1,0,2,16,62,0.148,8.67,57
LA00192,Uttar Pradesh,Agra,Residential,Compensation,206,51,52,0,11,3,36,0.365,3.05,238
LA00193,Uttar Pradesh,Agra,Residential,Compensation,231,113,27,0,5,111,72,0.187,6.46,199
LA00194,Maharashtra,Pune,Commercial,Notification,60,60,5,0,1,27,40,0.094,3.62,123
LA00195,Punjab,Patiala,Agricultural,Compensation,55,55,51,0,4,36,79,0.252,4.95,220
LA00196,Rajasthan,Udaipur,Agricultural,Possession,283,64,32,0,3,24,11,0.38,1.81,173
LA00197,Maharashtra,Nashik,Agricultural,Notification,40,18,21,0,9,20,71,0.128,16.89,130
LA00198,Rajasthan,Udaipur,Industrial,Compensation,330,46,28,0,3,24,9,0.089,24.63,159
LA00199,Maharashtra,Nagpur,Agricultural,Objection,210,142,14,0,3,24,65,0.105,6.68,135
LA00200,Punjab,Ludhiana,Agricultural,Compensation,95,6,56,0,10,64,53,0.253,7.13,222
LA00201,Maharashtra,Nashik,Agricultural,Notification,282,152,48,0,10,15,45,0.369,13.86,217
LA00202,Punjab,Ludhiana,Commercial,Possession,290,64,12,1,11,22,71,0.136,7.4,171
LA00203,Maharashtra,Pune,Agricultural,Possession,381,147,45,0,3,29,51,0.199,41.66,236
LA00204,Madhya Pradesh,Indore,Residential,Notification,123,50,11,0,0,15,56,0.134,1.98,104
LA00205,Maharashtra,Nashik,Residential,Objection,287,150,28,0,2,7,61,0.283,17.48,174
LA00206,Gujarat,Rajkot,Commercial,Compensation,427,105,45,1,9,53,68,0.413,6.59,289
LA00207,Madhya Pradesh,Bhopal,Agricultural,Compensation,157,154,3,0,0,8,18,0.22,2.41,133
LA00208,Punjab,Bathinda,Agricultural,Objection,423,15,44,0,4,9,68,0.27,69.9,168
LA00209,Gujarat,Ahmedabad,Agricultural,Notification,370,145,14,0,6,27,47,0.125,80.25,147
LA00210,Madhya Pradesh,Bhopal,Agricultural,Notification,232,52,42,0,11,3,2,0.317,6.0,180
LA00211,Gujarat,Vadodara,Residential,Possession,445,68,30,1,6,27,74,0.188,11.53,180
LA00212,Madhya Pradesh,Jabalpur,Agricultural,Compensation,485,12,2,0,0,67,62,0.02,4.61,98
LA00213,Madhya Pradesh,Gwalior,Agricultural,Possession,141,141,46,0,11,9,72,0.341,5.42,257
LA00214,Maharashtra,Pune,Agricultural,Compensation,491,117,16,0,5,35,62,0.163,2.38,185
LA00215,Madhya Pradesh,Bhopal,Residential,Possession,31,31,58,0,8,27,27,0.376,2.05,238
LA00216,Gujarat,Surat,Agricultural,Notification,90,90,51,0,6,3,28,0.202,46.72,210
LA00217,Rajasthan,Jodhpur,Residential,Notification,50,32,12,1,7,17,22,0.339,7.11,106
LA00218,Rajasthan,Udaipur,Agricultural,Possession,203,64,37,1,10,8,33,0.383,7.77,208
LA00219,Maharashtra,Nashik,Industrial,Possession,471,82,22,0,6,16,2,0.167,3.29,131
LA00220,Punjab,Ludhiana,Residential,Objection,312,30,37,0,8,24,60,0.242,8.93,161
LA00221,Rajasthan,Udaipur,Agricultural,Objection,320,168,34,1,4,28,60,0.335,1.64,221
LA00222,Maharashtra,Pune,Agricultural,Compensation,69,69,18,0,1,34,79,0.076,3.41,147
LA00223,Madhya Pradesh,Bhopal,Agricultural,Objection,273,104,40,0,9,20,44,0.207,2.23,197
LA00224,Gujarat,Surat,Agricultural,Notification,210,107,16,0,6,13,80,0.174,26.92,134
LA00225,Madhya Pradesh,Indore,Agricultural,Possession,255,128,55,0,4,15,17,0.246,1.42,213
LA00226,Gujarat,Vadodara,Industrial,Objection,153,124,57,1,12,5,38,0.286,2.27,315
LA00227,Madhya Pradesh,Jabalpur,Residential,Compensation,124,16,10,1,9,51,63,0.257,0.95,144
LA00228,Uttar Pradesh,Varanasi,Agricultural,Notification,478,98,44,0,6,5,63,0.313,3.03,213
LA00229,Uttar Pradesh,Agra,Residential,Notification,293,141,56,1,12,1,62,0.485,4.67,276
LA00230,Gujarat,Rajkot,Agricultural,Compensation,223,146,8,0,2,26,37,0.155,19.64,146
LA00231,Maharashtra,Nagpur,Industrial,Objection,64,64,45,0,2,12,5,0.307,5.92,143
LA00232,Punjab,Ludhiana,Agricultural,Compensation,389,162,57,1,13,107,70,0.485,4.9,367
LA00233,Rajasthan,Udaipur,Residential,Notification,252,108,14,0,1,21,30,0.137,9.97,93
LA00234,Madhya Pradesh,Bhopal,Commercial,Possession,212,72,35,1,11,8,52,0.155,4.75,220
LA00235,Maharashtra,Nagpur,Agricultural,Compensation,344,82,48,0,9,55,10,0.359,82.26,269
LA00236,Madhya Pradesh,Jabalpur,Agricultural,Possession,92,92,21,0,3,30,75,0.088,4.09,126
LA00237,Uttar Pradesh,Lucknow,Agricultural,Notification,281,161,15,0,3,17,20,0.048,11.18,150
LA00238,Maharashtra,Nashik,Industrial,Objection,436,45,24,0,3,14,80,0.082,16.89,146
LA00239,Gujarat,Surat,Agricultural,Objection,248,56,21,0,1,13,57,0.354,3.98,105
LA00240,Uttar Pradesh,Varanasi,Residential,Compensation,30,30,44,1,13,32,26,0.395,8.72,221
LA00241,Rajasthan,Jaipur,Commercial,Objection,138,138,23,0,2,28,29,0.081,4.48,170
LA00242,Uttar Pradesh,Kanpur,Commercial,Notification,56,56,23,0,6,19,79,0.118,9.72,154
LA00243,Rajasthan,Jodhpur,Agricultural,Objection,265,118,57,0,7,3,48,0.293,8.17,206
LA00244,Uttar Pradesh,Lucknow,Agricultural,Objection,201,6,35,0,4,6,56,0.254,6.42,149
LA00245,Uttar Pradesh,Kanpur,Residential,Objection,92,56,56,0,7,19,49,0.312,2.33,237
LA00246,Rajasthan,Udaipur,Agricultural,Notification,353,173,43,0,6,11,19,0.168,47.64,215
LA00247,Madhya Pradesh,Gwalior,Industrial,Objection,113,106,54,0,4,14,10,0.302,13.28,210
LA00248,Maharashtra,Pune,Agricultural,Compensation,190,157,12,0,3,24,0,0.079,1.51,159
LA00249,Madhya Pradesh,Bhopal,Agricultural,Objection,495,43,57,0,10,18,32,0.383,4.85,241
LA00250,Rajasthan,Jodhpur,Commercial,Objection,61,56,57,1,15,7,55,0.414,1.54,287
LA00251,Gujarat,Vadodara,Agricultural,Compensation,146,146,3,0,0,59,24,0.03,15.83,156
LA00252,Maharashtra,Nagpur,Agricultural,Compensation,179,179,22,0,6,33,18,0.224,7.23,204
LA00253,Gujarat,Ahmedabad,Agricultural,Objection,269,159,25,0,3,20,31,0.204,7.42,174
LA00254,Gujarat,Vadodara,Agricultural,Compensation,145,60,26,0,5,61,18,0.143,3.18,174
LA00255,Uttar Pradesh,Agra,Commercial,Possession,486,146,47,1,14,25,35,0.431,5.39,265
LA00256,Rajasthan,Kota,Agricultural,Compensation,32,32,42,0,5,50,44,0.287,16.24,222
LA00257,Madhya Pradesh,Jabalpur,Agricultural,Possession,476,153,13,0,6,4,22,0.234,21.24,121
LA00258,Rajasthan,Kota,Agricultural,Compensation,281,154,37,1,14,107,2,0.394,17.23,281
LA00259,Gujarat,Ahmedabad,Industrial,Notification,48,48,59,0,9,17,8,0.287,1.56,202
LA00260,Uttar Pradesh,Varanasi,Agricultural,Objection,84,58,27,0,9,17,33,0.057,6.13,158
LA00261,Madhya Pradesh,Bhopal,Industrial,Compensation,78,78,56,1,13,96,14,0.417,9.52,315
LA00262,Gujarat,Rajkot,Industrial,Possession,165,84,39,0,5,13,64,0.254,3.54,219
LA00263,Gujarat,Ahmedabad,Agricultural,Compensation,186,80,56,1,14,93,13,0.408,1.41,299
LA00264,Punjab,Patiala,Commercial,Notification,332,122,55,1,10,18,2,0.152,2.04,222
